,cust_id,birth_date,Age,acct_amount,acct_cur,inv_amount,fund_A,fund_B,fund_C,fund_D,account_opened,last_transaction
20,1903EB99,12/3/1962,58,24267.02,euro,22961,2930,7216,1035,11780,17-03-17,21-11-18
21,2C5901B4,2/7/1962,58,250046.76,euro,90440,14097,41086,18851,16406,5/2/2018,11/7/2019
22,96525DA6,11/23/1992,28,82511.24,euro,33927,8206,15019,5559.6,6182,23-07-18,7/8/2018
23,A1815565,9/27/1968,56,82996.04,euro,,16092,5491,5098,4216,7/11/2017,30-09-19
24,EC10469C,3/25/1992,28,73618.75,euro,48977,2808,22831,958,22380,27-12-18,8/6/2018
25,296A9395,5/2/1984,36,34679.6,euro,28459,4676,7349,10075,6359,24-12-17,19-02-19
26,1B55AA1C,10/9/1992,28,71782.2,euro,35474,3881,11981,13750,5862,29-01-19,22-11-19
27,B40E8497,8/27/1981,39,99771.9,euro,86990,3015,48358,11091,24526,16-05-17,5/1/2020
28,E2EFF324,3/10/1989,31,67297.46,euro,57250,1451,13278,33158,9363,27-04-18,10/7/2018
29,D3287768,7/31/1989,31,89961.77,euro,84214,58179,6874,6222,12939,3/9/2018,19-10-18
30,A69FA1B8,7/29/1967,53,75207.99,euro,31619,2515,1149,15567,12388,23-02-19,9/9/2019
31,8C35540A,2/10/1987,33,44244.71,euro,35498,3193,15847,6908,9550,3/5/2018,30-09-19
32,8D08495A,8/14/1961,63,89138.52,euro,60795,53880,1325,2105,3485,8/8/2018,5/2/2019
33,B5D367B5,2/12/1981,39,44226.86,euro,36571,1280,8191,3462,23638,16-09-17,3/4/2019
34,EC189A55,2/5/1986,34,83343.18,euro,7281,2715,2949,1072,545,4/2/2019,31-12-18
35,078C654F,10/17/1993,27,87312.64,euro,66529,3684,17635,11717,33493,14-04-17,5/8/2018
36,2AB6539A,8/28/1984,36,53796.13,euro,12400,935,617,9606,1242,3/1/2019,17-11-18
37,FA01676F,8/23/1962,58,66947.3,euro,52549,12800,30024,2082,7643,10/8/2018,23-07-19
38,4A13E345,4/19/1989,31,84107.71,euro,4216,985,1008,667,1556,17-09-18,9/2/2019
39,014E0511,3/13/1972,48,70272.97,euro,65968,23849,23025,2802,16292,9/2/2019,22-05-19
40,777A7F2C,8/12/1973,47,52684.17,euro,20968,380,2402,14612,3574,27-10-18,25-05-19
41,2EC1B555,3/17/1974,46,55976.78,euro,51477,8303,24112,15776,3286,5/12/2017,21-10-19
42,E7389E60,1/13/1989,31,86028.48,euro,48085,5731,10608,26502,5244,4/6/2017,7/8/2018
43,38B8CD9C,6/25/1970,50,28834.71,euro,27531,314,6072.28,14163,7908,17-09-18,5/2/2020
44,D4C7E817,5/14/1992,28,26585.87,euro,20440,9109,6706,2343,2282,6/5/2018,8/12/2018
45,7A4EED75,6/5/1975,45,98923.14,euro,,10107,393,423,10008,28-11-17,1/5/2019
46,ACE5C956,12/26/1989,31,90413.25,euro,21572,6087,4387,879,10219,29-12-18,30-04-19
47,68C55974,7/8/1962,58,95038.14,euro,66796,33764,5042,10659,19237.410000000003,3/4/2018,25-09-18
48,72DD1471,5/29/1963,57,100683.48,euro,,913,13798,72674,496,22-01-18,17-05-18
49,0F0884F6,6/20/1961,59,84505.81,euro,47824,8063,1165,38319,277,8/3/2018,24-08-19
50,DEC6DBE4,2/1/1979,41,32220.83,euro,3214,239,965,1189,821,9/8/2018,17-11-19
51,25E68E1B,12/8/1971,49,109737.62,euro,93550,38641,4210,29761,20938,26-12-17,12/11/2018
52,A631984D,2/27/1978,42,77799.33,euro,46410,2188,35508,331,8383,26-01-18,6/10/2019
53,82E87321,11/12/1992,28,97833.54,euro,61481,25595,7987,14098,13801,18-10-18,21-07-18
54,2F4F99C1,12/19/1988,36,82058.48,euro,,6129,16840,10397,2392,30-12-18,11/8/2018
55,625167AC,1/15/1991,29,95315.71,euro,66912,5665,30304,26767,4176,8/6/2017,3/7/2019
56,EC7C25A8,8/24/1972,48,86503.33,euro,49178,23253,14273,67,11585,8/6/2017,2/4/2018
57,F389832C,6/29/1974,46,95380.06,euro,58386,8992,19294,5106,24994,3/2/2018,23-09-18
58,A81D31B3,4/10/1970,50,74010.15,euro,48785,23761,4039,15610,5375,2/6/2018,12/9/2018
59,3B240FEF,3/30/1968,52,97856.46,euro,,13521,13303,8336,29678,23-05-18,11/10/2018
60,5AEA5AB8,10/24/1972,48,100266.99,euro,89341,41,13870,60112,15318,9/6/2018,3/7/2019
61,45F31C81,1/12/1975,49,120675276.8,euro,94608,15416,18845,20325,40022,5/11/2018,25-12-19
62,93A17007,8/23/1991,29,40651.36,euro,,627,1044,4064,3651,28-05-17,8/3/2019
63,0B44C3F8,2/20/1975,45,33984.87,euro,31393,10373,5583,1669,13768,10/4/2018,28-09-19
64,5321D380,4/30/1982,38,59700.08,euro,8143,117,1198,409,6419,9/10/2018,4/2/2019
65,0A9BA907,9/21/1966,54,90469.53,euro,70171,28615,21720.05,11906,10763,15-06-18,28-08-18
66,807465A4,7/29/1983,37,28827.59,euro,,2485,1260,1464,9375,20-04-17,31-07-18
67,AC2AEAC4,10/4/1990,30,88440.54,euro,63330,14710,26855,19757,2008,12/3/2018,1/8/2019
68,C55C54A8,7/7/1967,53,79630.02,euro,25248,4717,4516,2328,13687,30-10-18,19-02-19
69,E961CA44,2/26/1992,28,27907.16,euro,,995,3491,5476,1004,23-10-17,11/7/2019
70,58F8CC80,12/4/1988,32,87146.19,euro,25758,2126,11594,1070,10968,18-10-18,10/1/2019
71,0109137B,3/2/1969,51,31730.19,euro,21957,6511,2004,11007,2435,20-04-18,8/7/2019
72,B25B3B8D,12/12/1972,48,99193.98,euro,,26237,21745,18440,16940,28-04-18,4/7/2019
73,3E51A395,3/14/1974,46,21757.14,euro,10581,1383,5033,846,3319,4/6/2017,22-09-18
74,904A19DD,2/18/1987,33,31981.36,euro,13188,9599,858,1083,1648,28-01-19,23-06-19
75,8B359102,8/16/1974,46,173743123.6,euro,,18634,1763,75499,718,4/6/2018,20-06-19
76,CEC1CAE5,2/2/1976,44,92169.14,dollar,77894,45362,17808,12714,2010,26-11-17,8/10/2018
77,46351200,5/31/1980,40,97595.3,dollar,82248,26541,27491,1846,26370,18-08-18,20-02-20
78,F7FC8F78,5/7/1974,46,88049.82,dollar,84430,4590,24786,3346,51708,28-02-18,30-04-18
79,3FA9296D,5/7/1972,48,79744.23,dollar,70355,1185,10443,35762,22965,21-06-18,24-08-18
80,FBAD3C91,8/27/1970,50,99141.9,dollar,,260,10152,2936,118,29-05-18,2/11/2019
81,7A2879AF,12/22/1991,29,83345.15,dollar,45161,27172,11937,1715,4337,30-08-18,9/11/2019
82,19C86773,2/23/1973,47,63182.57,dollar,62691,16863,12793,12612,20423,9/5/2018,26-01-20
83,33CA2B76,12/31/1963,57,75508.61,dollar,,13265,5750,564,7427,16-11-17,3/3/2019
84,4C7F8638,12/19/1973,47,21942.37,dollar,11713,1340,3676,264,6433,14-07-18,2/2/2019
85,7539C3B7,5/14/1974,50,1077556.81,dollar,91190,32692,30405,14728,13365,23-08-17,7/6/2019
86,9B550FD5,1/30/1974,46,32891.31,dollar,11991,7938,3077,805,171,2/5/2018,27-06-19
87,5F6A2443,3/6/1968,52,98047.16,dollar,76215,25087,10060,21893,19175,15-12-18,12/11/2019
88,D5536652,4/3/1967,53,86506.85,dollar,,28722,29798,6572,16828,21-01-18,14-01-19
89,C580AE41,6/1/1968,52,96673.37,dollar,68466,8489.36,28592,2439,30419,28-09-18,17-09-18
90,56D310A8,11/9/1984,36,88660.4,dollar,62307,40694,15792,5342,479,25-02-18,29-07-18
91,87FDF627,4/5/1974,46,95275.46,dollar,55887,2360,25434,21229,6864,26-02-19,25-06-18
92,A07D5C92,9/20/1990,30,99577.36,dollar,60407,6467,20861,9861,26004.160000000003,17-11-17,16-01-20
93,B6F69B7A,8/26/1963,57,92007.12,dollar,22052,1734,12765,3236,4317,29-07-18,10/2/2020
94,A731C34E,6/3/1961,59,95352.02,dollar,,12061,15742,35725,20537,13-11-17,13-01-19
95,CA507BA1,8/10/1974,46,12209.84,dollar,7515,190,931,1451,4943,26-05-18,11/9/2019
96,B99CD662,12/12/1989,31,92838.44,dollar,49089,2453,7892,31486,7258,4/5/2017,12/3/2019
97,13770971,11/29/1984,36,92750.87,dollar,27962,3352,7547,8486,8577,16-08-17,24-04-19
98,93E78DA3,12/14/1969,51,41942.23,dollar,29662,1758,11174,11650,5080,9/10/2017,15-04-18
99,AC91D689,5/18/1993,27,99490.61,dollar,32149,2184,17918,6714,5333,1/8/2017,4/8/2019
